Sectors?;RMSE?;MSE?;MAE?;MAPE?;R2?;StandardDeviation?;;
Energy?;1.015116289;1.03046108;0.709286027;0.110339271;0.409048298;0.77;;10
Health care?;1.115058114;1.243354598;0.915248375;0.142361473;-0.453939651;0.65;;15
Consumer Discretionary?;0.958153737;0.918058584;0.770120811;0.133314818;0.174016586;0.60;;20
Real Estates?;0.765431272;0.585885032;0.628810982;0.114836895;0.543219754;0.52;;25
Consumer Staples?;0.777240811;0.604103278;0.661969358;0.114524414;0.212691421;0.44;;30
Financials?;0.830844829;0.690303129;0.652423911;0.12671831;-0.015595333;0.57;;35
Materials?;0.840577054;0.706569784;0.720582169;0.1614264;0.062457086;0.46;;40
Communication Services?;0.901726307;0.813110333;0.73662711;0.129690282;0.318588648;0.57;;45
Industrials?;0.916894383;0.84069531;0.745763812;0.147514127;-0.152993771;0.61;;50
Utilities?;1.388981602;1.92926989;1.112387315;0.179873778;0.090806674;0.87;;55
Information Technology?;1.017093617;1.034479426;0.843059788;0.172212435;-0.466732789;0.59;;60
;;;;;;;;
Régions;RMSE?;MSE?;MAE?;MAPE?;R2?;StandardDeviation?;;
Latin America & the Caribbean;1.128515203;1.273546563;0.91405926;0.168153388;0.18451961;0.74;;
East Asia and Pacific;1.025408259;1.051462098;0.826234792;0.150500022;0.207478646;0.65;;
Europe and Central Asia;0.807187551;0.651551743;0.645266307;0.119467195;0.650586883;0.53;;
North America;0.908343519;0.825087948;0.740492972;0.13126489;0.248622319;0.57;;
Middle East and North Africa;1.041159251;1.084012585;0.977480709;0.171205526;-0.788063363;0.38;;
South Asia;1.107823986;1.227273985;0.960428941;0.145446866;0.17095031;0.61;;
Sub-Saharan Africa;1.320332409;1.743277671;1.159351964;0.206895024;-5.648488636;0.64;;
;;;;;;;;
;;;;;;;;
Revenue Buckets;RMSE?;MSE?;MAE?;MAPE?;R2?;StandardDeviation?;;
Bucket 1;1.13;1.27;0.90;0.20;-0.27;0.71;;0
Bucket 2;0.89;0.80;0.69;0.14;0.07;0.61;;1
Bucket 3;0.97;0.94;0.79;0.15;0.03;0.62;;2
Bucket 4;1.03;1.07;0.86;0.16;-0.39;0.61;;3
Bucket 5;0.96;0.91;0.78;0.14;-0.15;0.59;;4
Bucket 6;0.98;0.97;0.82;0.14;0.06;0.60;;5
Bucket 7;0.97;0.93;0.82;0.14;-0.18;0.56;;6
Bucket 8;0.87;0.75;0.68;0.11;0.13;0.58;;7
Bucket 9;1.00;1.00;0.82;0.13;-0.13;0.63;;8
Bucket 10;0.63;0.40;0.49;0.07;0.75;0.44;;9
